MedInc,HouseAge,AvgRooms,Location_Distance
3.2596,33.0,5.017656500802568,3.8713528605497736
3.8125,49.0,4.473544973544974,2.335336090787252
4.1563,4.0,5.645833333333333,1.3315977703683148
1.9425,36.0,4.002816901408451,3.834670092077413
3.5542,43.0,6.268421052631579,1.1710073455983103
6.6227,20.0,6.282147315855181,2.9056657074490317
2.5192,28.0,4.345360824742268,2.2567846987059563
7.9892,37.0,6.052757793764988,3.7354069423759872
1.5,5.0,3.620578778135048,2.245773973979744
6.4266,5.0,6.730284479654303,2.4011341566703
4.2167,52.0,5.742690058479532,3.557586974803325
2.2303,25.0,3.2417391304347825,2.061422418984438
2.875,13.0,6.490259740259741,1.8343062356749225
2.0972,36.0,3.0126582278481013,2.867253055328429
2.8125,46.0,4.722033898305085,1.902649383442292
3.1667,36.0,5.054474708171206,2.197473387487644
2.8924,52.0,5.355353075170843,2.324943273867365
4.4063,20.0,5.900560224089636,2.9807742097468224
4.233,34.0,4.99436090225564,1.737787867502061
1.4329,21.0,3.057761732851985,2.1353383638785024
2.1935,31.0,4.794029850746269,2.67169572526632
8.5425,35.0,7.508403361344538,2.8975220879152817
2.7171,22.0,6.041899441340783,4.874658648947169
1.575,43.0,3.987138263665595,2.095706034929631
2.2583,18.0,7.046728971962617,5.929354167116707
5.4171,52.0,6.764705882352941,3.527731808286628
0.8252,15.0,5.05,4.33697506105228
3.5039,46.0,3.75,2.0306648360360526
3.8792,22.0,4.715254237288136,2.3674521691499035
2.4881,29.0,6.101910828025478,1.2932222712976016
2.7216,32.0,5.366594360086768,3.543722652568741
4.071,2.0,6.28139534883721,1.8981839101977127
2.825,39.0,4.530898876404494,2.015916041503426
2.5119,37.0,3.9292929292929295,2.1650592276561547
3.4421,31.0,4.725907384230288,3.8246912711647862
3.5893,35.0,5.966911764705882,2.280297258509521
2.0119,17.0,5.388781431334623,5.750471863513262
3.1901,52.0,4.7309417040358746,2.1472260331771467
5.0778,16.0,6.274356103023516,2.327810235020632
0.9702,28.0,2.5576470588235294,2.578623574827161
11.1978,32.0,7.270343580470163,1.8857224999601556
3.94,31.0,5.090384615384616,2.1719321511816565
4.0156,35.0,6.1953125,2.749664649382768
6.019,42.0,5.7024539877300615,2.043815089984852
3.6289,25.0,4.568831168831169,2.430112987841859
3.2369,17.0,4.465677179962894,3.679849358903196
2.8417,45.0,5.078726968174204,3.504322970634277
3.1957,29.0,4.355839416058394,2.283401028665073
3.1131,25.0,4.751798561151079,2.7612054695921397
4.0524,52.0,5.291666666666667,2.0447722826616257
2.4038,46.0,3.6126543209876543,2.038317174778129
4.475,43.0,5.635658914728682,3.402790243297308
3.0,31.0,5.2772277227722775,4.622678613521647
2.6678,34.0,5.076219512195122,3.8395752078958463
3.2411,52.0,5.1488203266787655,1.9895796871078344
8.7591,4.0,7.422045680238332,2.835600100882925
11.3421,4.0,8.115079365079366,3.3300952080861213
1.2083,39.0,5.219512195121951,2.1834509316416977
2.7917,49.0,5.128865979381444,1.999351819857916
2.9258,26.0,4.302005012531328,3.667009959170334
2.0529,43.0,3.845878136200717,3.7924135799757663
3.3068,50.0,4.622291021671827,2.0376350162036063
1.75,17.0,5.474358974358975,4.521273617251
3.1964,18.0,9.789473684210526,1.195327752544594
5.6936,5.0,4.586206896551724,3.3180286838507187
5.3369,40.0,5.709677419354839,1.9976789889719515
3.3409,8.0,3.849744711889132,2.5751058467662555
1.9779,49.0,4.971731448763251,2.0633638068865032
1.1483,36.0,2.956451612903226,2.323317989135125
4.9886,8.0,7.050669772859639,2.671592222958191
5.3951,37.0,5.142011834319527,3.1845577142247263
1.75,27.0,4.90625,2.29138769393357
1.2286,28.0,3.080808080808081,3.801849486930605
5.2415,12.0,5.1610337972167,2.8732796952822444
2.774,22.0,5.114023591087811,3.454394853548221
1.7895,34.0,4.395904436860068,2.8792855127462387
3.2301,23.0,4.79933110367893,2.42886765933137
2.3373,21.0,5.970642201834862,2.552930366340432
3.6635,36.0,5.580459770114943,2.2074221886510474
4.7188,27.0,6.393548387096774,2.8888973825953363
2.5763,28.0,3.4306451612903226,2.179439358326676
2.6914,52.0,4.846575342465753,3.500885243247914
5.0929,41.0,5.63265306122449,1.8133709738264965
3.5129,25.0,5.725490196078432,3.6017971136130527
5.7321,18.0,6.814953271028037,3.2389087348353307
2.45,42.0,3.624521072796935,2.134776299927448
2.9705,23.0,4.615671641791045,3.756567701671772
2.9417,39.0,4.0817843866171,1.9960568507703171
5.3962,23.0,6.897047086991221,3.9145704524859775
4.9018,17.0,6.2,3.2560893915747906
3.045,26.0,4.44364012409514,2.4867669084442725
1.4853,45.0,5.285714285714286,2.7187118839804243
6.6605,29.0,7.825396825396825,2.928218176949484
7.0285,45.0,6.440191387559809,1.9152146908303205
4.4063,9.0,4.564426877470356,2.759769234320306
4.8125,34.0,5.873417721518988,2.5125430086093585
1.685,44.0,4.168181818181818,2.7448877333255988
1.975,52.0,2.8,1.1200171587986203
5.0,20.0,6.46530612244898,3.033168813041328
6.4468,43.0,5.948198198198198,2.269424820829854
3.0185,17.0,4.205479452054795,1.1801057656726663
2.6214,7.0,5.491089108910892,2.177146011142303
2.6493,17.0,3.13215859030837,3.736077554102264
3.5462,19.0,5.226640159045726,3.5224993529903124
4.9643,37.0,7.1063829787234045,3.4713998592088235
2.4559,28.0,4.681528662420382,6.882168675938246
3.2891,29.0,6.062962962962963,6.155856706317704
3.7466,29.0,5.446315789473684,2.1974359190142074
5.7248,39.0,7.679775280898877,2.5139533911864103
7.2494,6.0,7.60075329566855,3.1673605226101818
4.9231,8.0,4.748936170212766,2.06830315285919
3.5719,19.0,4.387329591018444,2.591068638962928
3.5292,36.0,3.7252559726962455,2.341386073692407
2.7969,38.0,4.06701030927835,3.239257404545471
2.8438,21.0,4.714953271028038,3.647866144593528
3.2813,33.0,5.15268817204301,3.15569141092165
1.9194,27.0,5.029885057471264,2.977444599481234
6.0102,16.0,6.78827361563518,3.575754650923396
4.5625,34.0,5.764119601328904,2.96580301196335
1.2575,26.0,3.8875,3.45723408596391
5.0,42.0,5.224899598393574,2.628560580018073
8.2653,4.0,7.231265108783239,2.5821471231245887
4.2891,52.0,5.099730458221024,3.543132759837384
3.5938,46.0,4.731543624161074,2.1197158756228616
6.759,4.0,7.361419068736142,0.5583391466393648
4.7813,21.0,5.741176470588235,2.383264540522497
1.6378,26.0,4.981927710843373,0.6184773641426257
3.6373,52.0,6.841397849462366,2.017644658261464
4.3269,35.0,6.648809523809524,2.4302848363135627
3.0521,38.0,4.936708860759493,3.16807172815944
3.3929,39.0,6.656626506024097,4.442733698855826
2.9167,34.0,4.588235294117647,1.0994599211312257
6.235,44.0,5.92972972972973,2.038010312265983
2.1516,52.0,2.75,3.5691293025945576
4.7891,22.0,6.025817555938038,3.6543470352215657
5.0605,24.0,5.660714285714286,2.470677826123707
1.5064,42.0,4.3858615611192935,4.666551935116032
5.0762,11.0,5.91554054054054,1.7321420360069992
1.119,9.0,3.569230769230769,2.449759888952924
4.0153,25.0,4.276595744680851,1.9733190830286755
1.324,19.0,3.31056466302368,3.861620671582984
4.6528,32.0,5.657505285412262,3.360999632981627
7.732,18.0,7.26171875,2.794890431689676
5.0761,35.0,6.1072507552870094,3.403384283241355
4.0673,35.0,5.386885245901639,3.54518245913543
3.1406,20.0,5.48469387755102,7.025198287220313
2.0938,39.0,5.59433962264151,6.749981133045391
6.4232,41.0,5.3578947368421055,1.9822615270404285
3.8465,17.0,5.134993446920053,2.310514436902529
2.1864,17.0,5.818443804034582,6.102994096650875
1.7062,45.0,4.943502824858757,2.1671595532001406
5.1923,44.0,6.403614457831325,2.628560580018073
5.7519,27.0,6.298192771084337,2.4270198904018763
4.7952,22.0,6.365973072215422,3.862873619815941
3.7479,17.0,5.084084084084084,2.5032562797074425
5.8343,15.0,6.598726114649682,3.5393665297800405
6.0368,22.0,6.611336032388664,1.5882662790642457
3.7917,36.0,5.579088471849866,3.1599323669835724
6.2575,15.0,7.35546875,3.293689783433133
2.4432,37.0,2.866799204771372,1.9721840011654228
2.5848,52.0,3.8996960486322183,2.0878329809058696
4.87,19.0,5.662109375,3.4725096851589354
7.1997,13.0,19.468,2.754289530845322
0.9304,24.0,2.8344155844155843,2.049350843984431
2.875,44.0,5.434650455927052,3.6122435970211817
3.1375,11.0,4.716374269005848,2.24584854001457
3.5048,13.0,4.188760806916426,2.1315361826670367
1.1346,42.0,3.5921052631578947,2.1535905357549243
3.8547,17.0,5.6647058823529415,3.305965281106137
4.2955,45.0,5.36624203821656,3.3506623211339903
2.1366,23.0,2.269607843137255,2.1799476351089737
5.0893,25.0,4.393530997304582,3.15180371423375
1.7262,36.0,4.521604938271605,2.149349028445772
6.0774,29.0,7.870967741935484,4.183720568640861
1.65,41.0,3.8817480719794335,2.1395609077246944
2.8882,32.0,4.6103896103896105,3.757321494359031
8.8204,22.0,7.449180327868852,2.435712649394806
2.9712,52.0,10.105105105105103,2.823856087594641
2.3859,31.0,3.735218508997429,2.0707987228921976
3.3618,34.0,5.114967462039045,3.0201557480045564
3.5258,13.0,6.099709583736689,1.4721815096120694
2.1422,19.0,3.79951690821256,3.8368431319183394
1.9571,15.0,4.440993788819876,3.3672223886012933
7.1621,45.0,6.8575,3.255702743588252
1.3042,45.0,3.953379953379953,2.101874847365508
4.8021,22.0,4.94750656167979,3.0450949861643184
8.0755,52.0,6.253822629969419,3.591122188350368
3.7143,49.0,6.201086956521739,4.445008345528432
2.2596,33.0,3.8104089219330857,2.413280677791474
4.3,34.0,5.990066225165563,2.9158147314955563
2.0564,38.0,4.904,1.1556287031608532
4.1,27.0,5.522491349480969,2.559033513877953
2.087,33.0,6.141975308641976,6.181294361732907
5.9073,35.0,5.837340876944837,3.7232431403972375
9.8937,29.0,7.966029723991507,2.961319788454432
2.6477,40.0,6.299465240641712,0.7003653434443384
2.9647,16.0,7.537023186237846,3.523468938203345
1.983,42.0,4.555147058823529,0.6177546911873047
3.5302,52.0,5.586056644880174,3.613460918838392
2.8966,29.0,5.234285714285714,3.4183978218694104
4.0833,34.0,7.03030303030303,1.9538037255616996
5.3272,3.0,6.982358402971216,1.2937374146320548
3.8068,19.0,5.214285714285714,3.9145704524859775
1.2864,40.0,2.5520702634880803,2.311410456916798
4.5714,26.0,5.044444444444444,2.444404979426508
5.359,16.0,8.116279069767442,3.9362154710397657
2.4835,43.0,4.253731343283582,1.9051931543502671
5.8362,32.0,6.511029411764706,2.4288281112797496
2.2532,46.0,5.085011185682327,3.2603314626094257
3.425,28.0,5.421212121212121,2.32133720108035
2.8625,21.0,4.958695652173913,2.403811146705689
3.9167,35.0,5.771241830065359,3.486003515438107
3.1441,33.0,4.827285921625545,2.277908977131499
4.6071,14.0,5.674698795180723,1.1837966390030803
1.4464,30.0,3.657794676806084,2.0909458066233624
3.0132,44.0,4.90566037735849,2.0879935859750702
3.2083,46.0,5.531468531468532,2.057322558672282
5.1795,37.0,5.406360424028269,2.3142149383677624
4.9559,43.0,6.6923076923076925,3.408706423632734
4.8333,9.0,5.201092896174863,1.679381647794513
2.375,20.0,5.818639798488665,5.461362789041113
1.5833,42.0,4.641821946169772,0.9390035673889756
2.2804,42.0,3.828009828009828,3.7924135799757663
1.995,8.0,3.4344422700587085,3.2399144921777467
3.9812,9.0,7.1913875598086126,3.2656180971078714
7.7072,34.0,7.144486692015209,3.2984578476065947
1.5122,19.0,3.948186528497409,1.1789041792742598
2.8569,52.0,4.703315881326352,3.585121448479049
1.2404,52.0,4.757575757575758,1.0948342083417395
3.3095,33.0,5.474120082815735,6.836378533935883
3.0465,34.0,4.754137115839243,2.238048621830563
2.5667,40.0,6.5120481927710845,1.3817093131067084
0.9437,52.0,2.611111111111111,4.220190068136414
4.8516,13.0,6.15014164305949,6.881719367952995
7.1497,21.0,6.755244755244755,2.781167879365169
2.4726,15.0,5.180576631259484,3.8246811218800176
0.536,26.0,7.846153846153846,4.256491283722609
4.6,28.0,5.238888888888889,3.0679723952757443
